,Sygnatura czasowa,🧭 Jak długo trwa Twoja przygoda z programowaniem?,"👨‍💻 Czy tworzyłeś coś ""własnego""?",🔨 Czy udało Ci się znaleźć pracę jako programista/tka?,📅 W którym roku rozpocząłeś/aś szukać pracy jako Entry / Junior programista?,🚶 Jak oceniasz szybkość znalezienia pracy?,⌚ Jak długo to trwało?,"🕰️ Oceniasz, że znalazłeś/aś pracę w czasie adekwatnym do umiejętności?",👨‍💼 Ile rozmów kwalifikacyjnych musiałeś/aś przejść zanim udało Ci się znaleźć pracę?,📬 Do ilu pracodawców wysłałeś/aś CV (mniej więcej)?,👨‍⚖️ Jaki procent pracodawców się do Ciebie odezwało po przesłaniu CV1?,👨‍🔧 Jaki procent pracodawców zaprosiło Cię na rozmowę techniczną po przesłaniu CV1?,📅 W którym roku rozpocząłeś/aś szukać pracę jako Entry / Junior programista?,🚶 Twoim zdaniem - jak oceniasz proces rekrutacji w zawodzie?,⌚ Jak dawno rozpocząłeś/aś poszukiwać pracy?,🕰️ Jak oceniasz swoje umięjetności?,👨‍💼 Ile rozmów kwalifikacyjnych już przeszedłeś/przeszłaś?,📬 Do ilu pracodawców wysłałeś CV (mniej więcej)?,👨‍⚖️ Jaki procent pracodawców się do Ciebie odezwało po przesłaniu CV2?,👨‍🔧 Jaki procent pracodawców zaprosiło Cię na rozmowę techniczną po przesłaniu CV2?,👨‍🔬 Jakie miałeś/aś doświadczenie przed znalezieniem pracy?,🔏 Zgoda na przetwarzanie informacji ,😶 Jakbyś się zaklasyfikował/a?,📦 Tech Stack,🟢 Język #1,🟢 Ocena Języka #1,🔵 Język #2,🔵 Ocena Języka #2,🟣 Język #3,🟣 Ocena Języka #3,🐻 Umiejętności Mięciutkie 
54,2021/04/28 7:12:58 AM EET,5 lat+,Tak,Tak,2015-07-01,10.0,1 miesiąc,Tak,3.0,60?,40%,30%,,,,,,,,,Kontrybuowanie do open-source;Stworzenie publicznej libki;Stworzenie własnego programu/apki;Freelancerskie zlecenia;Uruchomienie własnego projektu;Kursy Online / Certyfikaty,Tak,Fullstack,JavaScript;TypeScript;HTML / CSS,JS,10.0,Css,10.0,TypeScript ,10.0,Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Dyscyplina;Ciekawość;Zaradność;Publiczne Przemówienia;Prezentowanie;Pisanie (reporty/dokumentacje);Tolerancja na zmiany i niepewność;Innowacyjność;Przywództwo
55,2021/04/28 7:16:02 AM EET,5 lat+,Nie,Tak,2020-01-01,10.0,1 miesiąc,Nie jestem pewien,1.0,1,100%,100%,,,,,,,,,Freelancerskie zlecenia,Tak,Frontend Developer,JavaScript;PHP;TypeScript;HTML / CSS,Js/ts,8.0,Html/css,10.0,Php,6.0,"Rzetelność, elastyczność"
56,2021/04/28 7:41:53 AM EET,5 lat+,Tak,Tak,2014-09-01,10.0,1 miesiąc,Raczej nie,1.0,1,100%,100%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Fullstack,Python;JavaScript;PHP;HTML / CSS,PHP,9.0,JS,7.0,Python,6.0,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
57,2021/04/28 9:46:42 AM EET,4 lata,Tak,Tak,2020-06-20,6.0,8 miesięcy,Nie jestem pewien,5.0,20,30%,20%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Fullstack,JavaScript;C#;TypeScript;HTML / CSS,C#,7.0,JavaScript,6.0,TypeScript,5.0,Komunikatywność
58,2021/04/28 10:58:03 AM EET,5 lat+,Tak,Tak,2017-09-01,9.0,1 miesiąc,Raczej tak,1.0,3,100%,80%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Fullstack,Java;JavaScript;C#;Kotlin;TypeScript;HTML / CSS,Java,8.0,Typescript,5.0,C#,6.0,Komunikatywność;Umiejętności Analityczne;Kreatywność;Ciekawość;Prezentowanie
59,2021/04/28 12:56:10 PM EET,"4,5 roku",Tak,Nie,,,,,,,,,2021-03-31,5.0,1 miesiąc,"Nie jestem nie wiadomo jakim ekspertem, ale jednak uważam, że umiem wystarczająco",1.0,1,0%,0%,Średnie Techniczne,Tak,Backend Developer,Python;Java;JavaScript;C/C++;PHP;HTML / CSS,Java,6.0,JavaScript,7.0,C++,5.0,Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Dyscyplina;Ciekawość;Zaradność;Dostępność Czasowa;Pisanie (reporty/dokumentacje)
60,2021/04/28 7:20:31 PM EET,5 lat+,Tak,Tak,2016-02-01,5.0,4 miesiące,Nie,6.0,20,20%,20%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Freelancerskie zlecenia,Nie,Backend Developer,Python;Java;C#;HTML / CSS;ABAP,ABAP,8.0,C/C++,5.0,Java/C#,4.0,Komunikatywność;Organizacja;Zarządzanie Projektem;Dyscyplina
61,2021/04/28 8:38:44 PM EET,2 lata,Tak,Tak,2020-02-14,9.0,7 miesięcy,Raczej tak,3.0,100,10%,10%,,,,,,,,,Kursy Online / Certyfikaty,Tak,Fullstack,Python;JavaScript;TypeScript;HTML / CSS,JavaScript ,8.0,Ts,7.0,Python,4.0,Komunikatywność;Organizacja;Umiejętności Analityczne
62,2021/04/29 12:35:31 AM EET,"2,5 roku",Tak,Nie,,,,,,,,,2019-04-29,4.0,ponad 1 rok,"Nie jestem nie wiadomo jakim ekspertem, ale jednak uważam, że umiem wystarczająco",8.0,50,20%,10%,Studia;Stworzenie własnego programu/apki,Tak,Backend / mobile,Java;C#;Kotlin,Java,7.0,C#,5.0,Kotlin,6.0,Organizacja;Dyscyplina;Ciekawość
63,2021/04/29 7:18:22 AM EET,4 lata,Tak,Tak,2019-06-01,9.0,1 miesiąc,Tak,1.0,5,80%,60%,,,,,,,,,Studia,Tak,Backend Developer,C#,C#,7.0,,,,,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
64,2021/04/30 9:36:49 AM EET,3 lata,Tak,Tak,2006-11-01,8.0,1 miesiąc,Tak,1.0,5,20%,20%,,,,,,,,,"Studia;ImagineCup, praktyki",Tak,Security,C#;HTML / CSS;VBA,C#,5.0,VBA,9.0,,,Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Ciekawość;Zaradność;Dostępność Czasowa;Publiczne Przemówienia;Prezentowanie;Pisanie (reporty/dokumentacje);Negocjowanie;Tolerancja na zmiany i niepewność;Innowacyjność;Przywództwo
65,2021/04/30 9:48:31 PM EET,1 rok,Tak,Tak,2020-04-01,10.0,1 miesiąc,Tak,3.0,7,80%,80%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Kursy Online / Certyfikaty,Tak,Fullstack,JavaScript;C#;TypeScript;Perl;HTML / CSS,C#,7.0,Javascript,5.0,Typescript,5.0,Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Dyscyplina;Ciekawość;Zaradność;Dostępność Czasowa
66,2021/05/03 3:00:58 PM EET,5 lat+,Tak,Tak,1996-01-01,9.0,1 miesiąc,Tak,1.0,1,100%,100%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Freelancerskie zlecenia,Tak,Architect,Python;Java;JavaScript;C#;C/C++;TypeScript;Go;Rust;HTML / CSS,C#,10.0,C,10.0,Python,10.0,Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Dyscyplina;Ciekawość;Prezentowanie;Tolerancja na zmiany i niepewność;Innowacyjność;Przywództwo
